,index,Unnamed: 0,ext_temp,temp_top,temp_bottom,int_temp,sample_time,identifier,r_x,r_y,r_z,metal_fraction,job_no,id,orientation,which_iter,boundary_cond,Nx,Ny,Nz,Lx,Ly,Lz,x_mid,y_mid,z_mid,T_L,T_S,cond_metal_s,cond_metal_l,cond_olivine,dens_liq_metal,dens_solid_metal,dens_olivine,heat_cap_liq_metal,heat_cap_solid_metal,heat_cap_ol,latent_heat,dt,iterations,save_iter,iteration_list,model_id,percent_rounded,percent_geochem_preserved,expected_vol,actual_volume,mean_it0,mean_it1,mean_it2,mean_it3
708,709,709,1420.0,1420.0,1430.0,1620.0,0.0,random,54.0,26.0,54.0,0.29,709,model_id_709,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_709,0.0,0.0,317416.32,317016.0,1590.9426932707108,1519.4737707722793,1492.0208954355012,1483.2785165321425
709,710,710,1020.0,1020.0,1035.0,1650.0,0.0,random,80.0,90.0,80.0,0.39,710,model_id_710,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_710,66.81954395664569,40.79168754625312,2411520.0,2410648.0,1605.9841910806106,1483.0663531957057,1417.6825435187636,1392.3537880386928
710,711,711,470.0,470.0,490.0,1610.0,0.0,random,100.0,106.0,100.0,0.31,711,model_id_711,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_711,0.416349135143218,73.17547737824356,4437866.666666666,4440504.0,1543.7964851377267,1353.4596720749794,1251.9582092818673,1212.2915422340982
711,712,712,1440.0,1440.0,1515.0,1660.0,0.0,random,22.0,32.0,22.0,0.1,712,model_id_712,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_712,52.30161668517833,0.0,64843.09333333334,64824.0,1620.5839831685919,1531.4925183854912,1507.7538605147336,1501.6982888289983
712,713,713,1370.0,1370.0,1460.0,1610.0,0.0,random,66.0,132.0,66.0,0.45,713,model_id_713,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_713,0.0,0.0,2407299.84,2407416.0,1594.727838028402,1553.7140157054196,1533.041729687735,1525.2960843147937
713,714,714,380.0,380.0,470.0,1890.0,0.0,random,118.0,26.0,118.0,0.08,714,model_id_714,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_714,74.67992883201082,91.40335038619722,1515673.8133333332,1515288.0,1727.5362474596054,1285.4832724646978,1099.4850597393902,1037.6694261461205
714,715,715,570.0,570.0,610.0,1800.0,0.0,random,94.0,82.0,94.0,0.31,715,model_id_715,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_715,82.32226151018719,55.96900205932219,3033457.7066666665,3034008.0,1720.784640788786,1492.9386443651224,1372.361818454815,1325.6390371935468
715,716,716,560.0,560.0,570.0,1610.0,0.0,random,28.0,28.0,28.0,0.29,716,model_id_716,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_716,0.0,100.0,91905.70666666667,91912.0,1392.3326636965414,889.5000658883971,755.8952160894424,721.2002510454703
716,717,717,910.0,910.0,1010.0,1830.0,0.0,random,112.0,104.0,112.0,0.5000000000000001,717,model_id_717,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_717,90.57178283407187,1.2022971443795938,5461824.853333333,5464872.0,1779.8116359180829,1642.794770683561,1570.400192763261,1542.0750998449992
717,718,718,820.0,820.0,855.0,1870.0,0.0,random,58.0,36.0,58.0,0.7200000000000002,718,model_id_718,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_718,75.51226756402357,100.0,507022.08,506376.0,1725.1882305756583,1369.9998157694324,1219.2004299118255,1171.5229160609656
