,index,Unnamed: 0,ext_temp,temp_top,temp_bottom,int_temp,sample_time,identifier,r_x,r_y,r_z,metal_fraction,job_no,id,orientation,which_iter,boundary_cond,Nx,Ny,Nz,Lx,Ly,Lz,x_mid,y_mid,z_mid,T_L,T_S,cond_metal_s,cond_metal_l,cond_olivine,dens_liq_metal,dens_solid_metal,dens_olivine,heat_cap_liq_metal,heat_cap_solid_metal,heat_cap_ol,latent_heat,dt,iterations,save_iter,iteration_list,model_id,percent_rounded,percent_geochem_preserved,expected_vol,actual_volume,mean_it0,mean_it1,mean_it2,mean_it3
0,1,1,901.0287881920814,896.258333807743,901.0287881920814,1830.0,100.00950660709192,Run250-8,90.0,74.0,90.0,0.5400000000000001,1,model_id_1,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_1,86.23853503286172,25.571615624532082,2509488.0,2511128.0,1759.6732353601537,1569.798899164444,1470.99006584415,1433.0769113284289
1,2,2,901.0287881920814,896.258333807743,901.0287881920814,1830.0,100.00950660709192,Run250-8,132.0,14.0,132.0,0.5300000000000001,2,model_id_2,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_2,52.44977393355612,100.0,1021278.72,1017400.0,1616.8831332501832,1250.7503288489847,1154.9486387385641,1127.4661220349165
2,3,3,901.0287881920814,896.258333807743,901.0287881920814,1840.0,100.00950660709192,Run250-8,128.0,66.0,128.0,0.24,3,model_id_3,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_3,89.22808748212225,15.78033649961902,4527226.88,4525176.0,1783.795226347201,1623.879575758228,1539.2434087006588,1506.3677145730694
3,4,4,1037.2046810925794,1027.5720260397584,1037.2046810925794,1780.0,35.00332731248217,Run300-8,30.0,114.0,30.0,0.32,4,model_id_4,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_4,67.44585191127362,100.0,429552.0,428824.0,1664.1886975450786,1377.6649112226055,1268.8566168848197,1236.2749376773677
4,5,5,1515.482038558975,1513.0664171407466,1515.482038558975,1680.0,30.002851982127577,Run250-8,20.0,124.0,20.0,0.25,5,model_id_5,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_5,71.98140615920977,0.0,207658.6666666667,206520.0,1641.695579230092,1564.62380560514,1546.0993509789603,1541.1066219620443
5,6,6,1037.2046810925794,1027.5720260397584,1037.2046810925794,1600.0,35.00332731248217,Run300-8,44.0,136.0,44.0,0.23,6,model_id_6,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_6,0.0,85.95860827398971,1102332.5866666667,1102056.0,1541.7417529049442,1379.8760123557684,1302.3977338362583,1275.1078791366185
6,7,7,823.3731432668196,813.7842827358581,823.3731432668196,1880.0,60.005703964255154,Run300-8,86.0,20.0,86.0,0.6800000000000002,7,model_id_7,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_7,67.67287130763455,100.0,619291.7333333333,618032.0,1683.4636518849334,1284.5547243517872,1153.0047240131178,1113.841139909145
7,8,8,1321.0393048253818,1313.4567936619046,1321.0393048253818,1660.0,20.001901321418384,Run300-8,128.0,30.0,128.0,0.1,8,model_id_8,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_8,69.0012798618216,0.0,2057830.4,2056472.0,1626.6309453233146,1535.1806093217324,1494.1403090711244,1479.90764344048
8,9,9,808.347503888043,804.0394452375098,808.347503888043,1740.0,120.01140792851032,Run250-8,144.0,10.0,144.0,0.13,9,model_id_9,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_9,17.102679360824933,100.0,868147.2000000001,859608.0,1495.4650704705539,1092.0186202998627,1010.0995601212705,987.4645942094587
9,10,10,1202.3949221859843,1197.180837174651,1202.3949221859843,1790.0,60.005703964255154,Run250-8,86.0,66.0,86.0,0.14,10,model_id_10,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_10,90.04453287481836,0.0,2043662.72,2042536.0,1748.7522837447214,1631.275660969613,1570.9683354996819,1547.894323740987
10,11,11,1028.523177814505,1023.3273349353004,1028.523177814505,1790.0,80.00760528567353,Run250-8,106.0,128.0,106.0,0.6200000000000001,11,model_id_11,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_11,89.4261965250673,0.012085105704833909,6021297.493333333,6023944.0,1745.5059032807117,1625.9638964701394,1563.2785603722255,1538.8558227930519
11,12,12,1416.242888476176,1412.366738743832,1416.242888476176,1740.0,40.00380264283677,Run250-8,74.0,70.0,74.0,0.12,12,model_id_12,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_12,93.09940703873448,0.0,1604833.0666666667,1604152.0,1715.6010952807699,1645.0272814187629,1609.2774065531685,1595.7862928480554
12,13,13,1416.242888476176,1412.366738743832,1416.242888476176,1710.0,40.00380264283677,Run250-8,78.0,136.0,78.0,0.6800000000000002,13,model_id_13,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_13,91.37176057264604,0.0,3464148.4800000004,3465736.0,1686.6305353661419,1624.2207140738863,1594.1170901168025,1583.1544160881924
13,14,14,1437.9232012780672,1432.1849998529583,1437.9232012780672,1900.0,15.001425991063789,Run300-8,54.0,102.0,54.0,0.4100000000000001,14,model_id_14,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_14,100.0,0.0,1245248.64,1244664.0,1852.4581080461633,1723.068532756703,1663.3455444537203,1642.5908272645809
14,15,15,1515.482038558975,1513.0664171407466,1515.482038558975,1710.0,30.002851982127577,Run250-8,96.0,80.0,96.0,0.7600000000000002,15,model_id_15,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_15,100.0,0.0,3086745.5999999996,3086696.0,1694.1499862456992,1651.7504948811556,1630.6638093989748,1622.85981040162
15,16,16,1515.482038558975,1513.0664171407466,1515.482038558975,1770.0,30.002851982127577,Run250-8,82.0,58.0,82.0,0.34,16,model_id_16,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_16,100.0,0.0,1632766.5066666666,1631064.0,1747.7783495673723,1685.516092826796,1654.895416011355,1643.68116612458
16,17,17,1116.0715720972055,1106.762313430142,1116.0715720972055,1880.0,30.002851982127577,Run300-8,72.0,118.0,72.0,0.6700000000000002,17,model_id_17,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_17,93.87876875591614,0.0,2561034.2399999998,2560792.0,1814.2916029405192,1642.8399834227066,1563.02670824015,1534.015064007493
17,18,18,922.4213195845092,912.6151934329928,922.4213195845092,1670.0,45.00427797319136,Run300-8,50.0,88.0,50.0,0.29,18,model_id_18,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_18,60.810681678003355,85.4673234126467,921066.6666666666,920904.0,1595.2253198778697,1386.3058976413215,1284.0973361381314,1247.4338808445927
18,19,19,973.4012499713411,963.6267289928282,973.4012499713411,1610.0,40.00380264283677,Run300-8,52.0,14.0,52.0,0.3,19,model_id_19,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_19,0.0,100.0,158490.4533333333,157784.0,1461.3363072200887,1168.1504162746392,1096.042345019928,1076.2603816938492
19,20,20,808.347503888043,804.0394452375098,808.347503888043,1770.0,120.01140792851032,Run250-8,32.0,72.0,32.0,0.7800000000000001,20,model_id_20,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_20,51.0785204412719,100.0,308674.56,308200.0,1602.1049268393735,1207.247515539933,1077.5118399880917,1040.346269829871
20,21,21,973.4012499713411,963.6267289928282,973.4012499713411,1800.0,40.00380264283677,Run300-8,126.0,50.0,126.0,0.7300000000000002,21,model_id_21,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_21,83.97447470217678,22.239553620216114,3323376.0,3323448.0,1729.0449209239482,1546.5096510144926,1458.3229850213622,1425.813715182669
21,22,22,1028.523177814505,1023.3273349353004,1028.523177814505,1780.0,80.00760528567353,Run250-8,64.0,80.0,64.0,0.42,22,model_id_22,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_22,81.98229220775431,27.153504496985473,1371886.9333333333,1370696.0,1713.3326349932422,1533.542085106287,1442.7581462666105,1408.7154261851967
22,23,23,1116.0715720972055,1106.762313430142,1116.0715720972055,1890.0,30.002851982127577,Run300-8,46.0,132.0,46.0,0.29,23,model_id_23,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_23,90.1383787185433,7.122092029030117,1169386.2400000002,1169544.0,1807.382587454189,1588.4362538188186,1490.2281333960084,1455.7093877959483
23,24,24,1596.29435199571,1595.9310892191263,1596.29435199571,1860.0,5.000475330354596,Run300-8,136.0,78.0,136.0,0.07,24,model_id_24,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_24,100.0,0.0,6040053.76,6041144.0,1847.001688794886,1808.3647843721321,1787.7376721927124,1779.6354619174683
24,25,25,1037.2046810925794,1027.5720260397584,1037.2046810925794,1820.0,35.00332731248217,Run300-8,112.0,100.0,112.0,0.19,25,model_id_25,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_25,91.61429917912345,0.04293956332595849,5251754.666666666,5253896.0,1779.468135534186,1663.487107375955,1601.4913149454228,1577.0898012877801
25,26,26,1416.242888476176,1412.366738743832,1416.242888476176,1760.0,40.00380264283677,Run250-8,36.0,120.0,36.0,0.06,26,model_id_26,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_26,90.50015379883114,0.0,651110.4,650200.0,1719.4617852896351,1607.3277370887702,1558.6224804135732,1542.4071218690694
26,27,27,959.6502793646016,954.6494738767892,959.6502793646016,1840.0,90.00855594638273,Run250-8,104.0,104.0,104.0,0.23,27,model_id_27,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_27,91.04440349521488,6.257759360059782,4709430.613333333,4710440.0,1792.1498745827382,1655.972601117321,1583.0961932268126,1554.4285804680248
27,28,28,1599.6876685104155,1599.6616948071105,1599.6876685104155,1760.0,10.000950660709192,Run250-8,46.0,42.0,46.0,0.06,28,model_id_28,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_28,100.0,0.0,372077.44,371896.0,1741.3165916170174,1688.6994406413914,1664.8060407416665,1656.6731854495133
28,29,29,1116.0715720972055,1106.762313430142,1116.0715720972055,1690.0,30.002851982127577,Run300-8,100.0,140.0,100.0,0.2,29,model_id_29,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_29,84.51270489621957,2.6547972088668836,5861333.333333333,5861992.0,1661.1829342978847,1578.6594890396166,1534.1340365294054,1516.5527249198672
29,30,30,1321.0393048253818,1313.4567936619046,1321.0393048253818,1730.0,20.001901321418384,Run300-8,50.0,122.0,50.0,0.5100000000000001,30,model_id_30,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_30,82.9141256181564,0.0,1276933.3333333333,1276376.0,1685.2205295702586,1570.905931787305,1521.1187955602686,1503.7991782810507
30,31,31,901.0287881920814,896.258333807743,901.0287881920814,1630.0,100.00950660709192,Run250-8,94.0,34.0,94.0,0.5700000000000002,31,model_id_31,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_31,28.380313512343832,99.66523042457183,1257775.1466666667,1256984.0,1546.0334469484012,1329.1681175898477,1232.8303139019047,1200.4320570414895
31,32,32,1599.6876685104155,1599.6616948071105,1599.6876685104155,1600.0,10.000950660709192,Run250-8,80.0,112.0,80.0,0.5600000000000002,32,model_id_32,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_32,100.0,0.0,3001002.6666666665,3003016.0,1599.9747582151472,1599.9054499763733,1599.8705919376425,1599.857569416368
32,33,33,1037.2046810925794,1027.5720260397584,1037.2046810925794,1820.0,35.00332731248217,Run300-8,10.0,132.0,10.0,0.42,33,model_id_33,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_33,0.0,100.0,55264.0,53416.0,1473.6908934167986,1116.6736378282233,1078.2541424548501,1069.6078449956435
33,34,34,959.6502793646016,954.6494738767892,959.6502793646016,1610.0,90.00855594638273,Run250-8,72.0,74.0,72.0,0.2,34,model_id_34,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_34,0.0,65.51911343543767,1606072.32,1606200.0,1560.6781394751279,1418.5035496378955,1344.1756996873291,1315.7460431226648
34,35,35,922.4213195845092,912.6151934329928,922.4213195845092,1780.0,45.00427797319136,Run300-8,102.0,30.0,102.0,0.38,35,model_id_35,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_35,73.6513873984363,72.69415912923502,1306742.4,1304600.0,1680.5851736726881,1423.3051776518125,1312.379572170924,1274.5643556134044
35,36,36,1581.0383094578049,1580.2301851822683,1581.0383094578049,1670.0,20.001901321418384,Run250-8,130.0,58.0,130.0,0.08,36,model_id_36,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_36,100.0,0.0,4103770.6666666665,4103832.0,1664.6143896394901,1648.7515862398316,1640.4787810437224,1637.2911526294763
36,37,37,1515.482038558975,1513.0664171407466,1515.482038558975,1760.0,30.002851982127577,Run250-8,140.0,116.0,140.0,0.3,37,model_id_37,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_37,100.0,0.0,9518805.333333332,9520552.0,1748.5336794561947,1715.2931052098327,1697.483861400509,1690.4615503835792
37,38,38,1416.242888476176,1412.366738743832,1416.242888476176,1790.0,40.00380264283677,Run250-8,72.0,78.0,72.0,0.18,38,model_id_38,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_38,98.03144579737558,0.0,1692887.04,1691800.0,1761.1391019803812,1677.7660203164555,1635.7508921281687,1620.0397366957332
38,39,39,851.0730954864025,846.5383788270392,851.0730954864025,1680.0,110.01045726780112,Run250-8,142.0,44.0,142.0,0.7000000000000002,39,model_id_39,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_39,62.46475672718422,69.557566345663,3714477.6533333333,3714184.0,1606.5802999779924,1414.7232091121039,1321.7269098696886,1287.9697150715078
39,40,40,1109.163987069829,1103.864755270837,1109.163987069829,1690.0,70.00665462496434,Run250-8,140.0,34.0,140.0,0.7800000000000001,40,model_id_40,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_40,62.321900341641545,32.75599450390263,2789994.6666666665,2788888.0,1626.0811494646523,1471.5881955879076,1404.1666730820734,1380.5651626114284
40,41,41,1037.2046810925794,1027.5720260397584,1037.2046810925794,1630.0,35.00332731248217,Run300-8,58.0,18.0,58.0,0.7200000000000002,41,model_id_41,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_41,0.0,100.0,253511.04,252656.0,1504.1919590879015,1248.6652437177659,1175.9927281520568,1155.5436115445757
41,42,42,1116.0715720972055,1106.762313430142,1116.0715720972055,1650.0,30.002851982127577,Run300-8,28.0,78.0,28.0,0.5100000000000001,42,model_id_42,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_42,25.671482746732693,100.0,256023.04,255256.0,1554.6939481275901,1329.8598629781068,1253.7033560792242,1232.5103162570226
42,43,43,1581.0383094578049,1580.2301851822683,1581.0383094578049,1840.0,20.001901321418384,Run250-8,42.0,108.0,42.0,0.6500000000000001,43,model_id_43,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_43,100.0,0.0,797610.24,796872.0,1804.1420964161537,1715.8267127507952,1681.915659572964,1671.0685133215882
43,44,44,1515.482038558975,1513.0664171407466,1515.482038558975,1790.0,30.002851982127577,Run250-8,150.0,108.0,150.0,0.5200000000000001,44,model_id_44,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_44,100.0,0.0,10173600.0,10178024.0,1775.912479887496,1736.3614234932506,1715.3633382099272,1707.1387770005792
44,45,45,1541.9846916117813,1538.986822337523,1541.9846916117813,1620.0,10.000950660709192,Run300-8,100.0,80.0,100.0,0.5500000000000002,45,model_id_45,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_45,100.0,0.0,3349333.333333333,3348136.0,1614.2037289006453,1598.328020455686,1590.312253002752,1587.2964765085694
45,46,46,1037.2046810925794,1027.5720260397584,1037.2046810925794,1690.0,35.00332731248217,Run300-8,148.0,110.0,148.0,0.6600000000000001,46,model_id_46,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_46,82.59631871882092,4.6576078727636085,10087522.133333333,10091704.0,1658.1092040838178,1571.6722376353082,1524.6971044995278,1506.0976774314481
46,47,47,973.4012499713411,963.6267289928282,973.4012499713411,1840.0,40.00380264283677,Run300-8,134.0,138.0,134.0,0.5700000000000002,47,model_id_47,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_47,92.96814479484544,0.0,10374258.559999999,10378712.0,1798.1089449211252,1683.970738998458,1623.4844319717272,1599.7168730127307
47,48,48,808.347503888043,804.0394452375098,808.347503888043,1820.0,120.01140792851032,Run250-8,22.0,50.0,22.0,0.7500000000000002,48,model_id_48,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_48,38.887572094493166,100.0,101317.33333333333,101256.0,1568.1452871299693,1081.560131004038,972.2187455651065,943.6787067338466
48,49,49,1321.0393048253818,1313.4567936619046,1321.0393048253818,1850.0,20.001901321418384,Run300-8,22.0,100.0,22.0,0.5000000000000001,49,model_id_49,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_49,89.76172600466275,2.2641956770853913,202634.66666666666,202456.0,1723.6951280697606,1490.5965828236674,1429.3915667209667,1411.956578424627
49,50,50,1028.523177814505,1023.3273349353004,1028.523177814505,1720.0,80.00760528567353,Run250-8,30.0,64.0,30.0,0.6600000000000001,50,model_id_50,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_50,46.40733481712786,100.0,241152.0,240824.0,1595.7578231484847,1306.887912545889,1208.9858750521164,1181.8424330862883
50,51,51,1306.8691253897323,1302.0744906818743,1306.8691253897323,1870.0,50.00475330354596,Run250-8,78.0,38.0,78.0,0.27,51,model_id_51,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_51,97.33115063124737,0.0,967923.8400000001,967608.0,1809.2785315112367,1645.1744864056195,1574.017352115572,1549.8799472431158
51,52,52,1596.29435199571,1595.9310892191263,1596.29435199571,1880.0,5.000475330354596,Run300-8,102.0,74.0,102.0,0.5000000000000001,52,model_id_52,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_52,100.0,0.0,3223297.92,3222008.0,1858.9422547755087,1800.5477181507642,1770.9097297316716,1759.7462775972701
52,53,53,823.3731432668196,813.7842827358581,823.3731432668196,1600.0,60.005703964255154,Run300-8,82.0,90.0,82.0,0.4000000000000001,53,model_id_53,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_53,0.0,75.05423130480361,2533603.2,2533592.0,1543.8694986439107,1385.5429617590544,1302.0178761483883,1269.882098306539
53,54,54,901.0287881920814,896.258333807743,901.0287881920814,1770.0,100.00950660709192,Run250-8,120.0,92.0,120.0,0.4700000000000001,54,model_id_54,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_54,86.28275648280983,19.697649102823817,5546495.999999999,5548520.0,1720.8682372903238,1584.1570281058105,1510.5073305877736,1481.5392747013493
54,55,55,922.4213195845092,912.6151934329928,922.4213195845092,1780.0,45.00427797319136,Run300-8,132.0,94.0,132.0,0.06,55,model_id_55,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_55,89.85288130294133,16.000835278622585,6857157.119999999,6857592.0,1741.6559498036338,1628.1628382903007,1566.7877898774204,1542.4749829053744
55,56,56,849.4516391713304,839.7589390549527,849.4516391713304,1720.0,55.00522863390056,Run300-8,88.0,114.0,88.0,0.7000000000000002,56,model_id_56,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_56,76.87828249057044,47.13997286366263,3696056.32,3696888.0,1659.7759340826622,1495.7386920781134,1408.3160267673054,1374.4154619347805
56,57,57,1596.29435199571,1595.9310892191263,1596.29435199571,1710.0,5.000475330354596,Run300-8,130.0,26.0,130.0,0.7800000000000001,57,model_id_57,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_57,100.0,0.0,1839621.3333333333,1837176.0,1692.5766720377073,1655.3399432809676,1642.5017222738454,1638.3597132155778
57,58,58,849.4516391713304,839.7589390549527,849.4516391713304,1730.0,55.00522863390056,Run300-8,106.0,144.0,106.0,0.42,58,model_id_58,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_58,83.92346350314554,29.551880416445808,6773959.68,6776584.0,1683.9359835320297,1553.6551622489828,1482.938753583468,1454.9834253818383
58,59,59,922.4213195845092,912.6151934329928,922.4213195845092,1810.0,45.00427797319136,Run300-8,100.0,148.0,100.0,0.33,59,model_id_59,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_59,89.63212644516223,11.066919770348413,6196266.666666666,6199304.0,1763.0163836499994,1630.4866009039226,1559.1613429871572,1531.057696364268
59,60,60,901.0287881920814,896.258333807743,901.0287881920814,1720.0,100.00950660709192,Run250-8,142.0,148.0,142.0,0.08,60,model_id_60,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_60,89.20117443660904,17.35264014604287,12494152.106666666,12498248.0,1690.4137345245922,1602.6727269335781,1554.7477631930858,1535.6234822572253
60,61,61,1596.29435199571,1595.9310892191263,1596.29435199571,1720.0,5.000475330354596,Run300-8,74.0,132.0,74.0,0.43,61,model_id_61,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_61,100.0,0.0,3026256.64,3025512.0,1710.5688295674888,1684.2483619825593,1670.9786984936004,1666.0116528853812
